timestamp,lat,lon,depth,unit,site,rtcfail
2017-04-11 14:20:45 GMT+5,83.4400767,-64.4100817,34.36,4,2,0
2017-04-11 14:20:52 GMT+5,83.4400534,-64.4100817,17.49,4,2,0
2017-04-11 14:20:55 GMT+5,83.44004,-64.4100617,28.92,4,2,0
2017-04-11 14:21:06 GMT+5,83.4399833,-64.4099417,35.92,4,2,0
2017-04-11 14:21:09 GMT+5,83.4399716,-64.4099267,23.87,4,2,0
2017-04-11 14:21:15 GMT+5,83.4399434,-64.40987,17.32,4,2,0
2017-04-11 14:21:19 GMT+5,83.4399266,-64.409865,16.77,4,2,0
2017-04-11 14:21:22 GMT+5,83.4399217,-64.4098733,11.27,4,2,0
2017-04-11 14:21:24 GMT+5,83.439895,-64.409805,7.777,4,2,0
2017-04-11 14:21:27 GMT+5,83.43987,-64.4097484,15.22,4,2,0
2017-04-11 14:22:39 GMT+5,83.43968,-64.4093617,40.47,4,2,0
2017-04-11 14:22:42 GMT+5,83.4396783,-64.4093817,29.59,4,2,0
2017-04-11 14:22:44 GMT+5,83.4396733,-64.4093817,23.76,4,2,0
2017-04-11 14:22:47 GMT+5,83.439665,-64.4093617,21.1,4,2,0
2017-04-11 14:22:49 GMT+5,83.4396483,-64.40932,15.77,4,2,0
2017-04-11 14:23:06 GMT+5,83.4395966,-64.4092383,29.92,4,2,0
2017-04-11 14:23:11 GMT+5,83.43958,-64.4092,22.93,4,2,0
2017-04-11 14:24:00 GMT+5,83.4393816,-64.4089717,39.41,4,2,0
2017-04-11 14:24:05 GMT+5,83.4393583,-64.4089533,42.08,4,2,0
2017-04-11 14:24:12 GMT+5,83.439335,-64.4089033,43.47,4,2,0
2017-04-11 14:24:18 GMT+5,83.4393233,-64.40888,26.09,4,2,0
2017-04-11 14:25:22 GMT+5,83.4390917,-64.408585,43.3,4,2,0
2017-04-11 14:25:38 GMT+5,83.43903,-64.4084834,45.8,4,2,0
2017-04-11 14:25:59 GMT+5,83.4389633,-64.4083634,7.111,4,2,0
2017-04-11 14:26:40 GMT+5,83.4388817,-64.4082,9.39,4,2,0
2017-04-11 14:26:42 GMT+5,83.4388766,-64.4082,26.65,4,2,0
2017-04-11 14:27:47 GMT+5,83.4386684,-64.4078884,38.14,4,2,0
2017-04-11 14:27:51 GMT+5,83.4386516,-64.4078483,48.85,4,2,0
2017-04-11 14:28:53 GMT+5,83.43852,-64.4076233,40.91,4,2,0
2017-04-11 14:29:09 GMT+5,83.4384584,-64.4076384,38.53,4,2,0
2017-04-11 14:29:22 GMT+5,83.4384,-64.4076367,23.71,4,2,0
2017-04-11 14:29:25 GMT+5,83.4383933,-64.4076433,28.54,4,2,0
2017-04-11 14:29:27 GMT+5,83.4383783,-64.40763,29.26,4,2,0
2017-04-11 14:29:31 GMT+5,83.4383617,-64.4076333,28.7,4,2,0
2017-04-11 14:29:43 GMT+5,83.438305,-64.40753,1.117,4,2,0
2017-04-11 14:29:50 GMT+5,83.438275,-64.40754,20.65,4,2,0
2017-04-11 14:29:52 GMT+5,83.438255,-64.407535,17.88,4,2,0
2017-04-11 14:29:59 GMT+5,83.4382183,-64.40754,94.9,4,2,0
2017-04-11 14:30:02 GMT+5,83.4382083,-64.40754,41.58,4,2,0
2017-04-11 14:30:04 GMT+5,83.4381933,-64.4075233,32.25,4,2,0
2017-04-11 14:30:16 GMT+5,83.4381333,-64.4075616,24.21,4,2,0
2017-04-11 14:30:38 GMT+5,83.4380433,-64.4074817,21.32,4,2,0
2017-04-11 14:30:51 GMT+5,83.4379867,-64.40746,13.99,4,2,0
2017-04-11 14:30:54 GMT+5,83.4379734,-64.407465,26.2,4,2,0
2017-04-11 14:30:58 GMT+5,83.437955,-64.4074683,37.64,4,2,0
2017-04-11 14:31:50 GMT+5,83.4377883,-64.4074,22.26,4,2,0
2017-04-11 14:32:06 GMT+5,83.4377183,-64.4074234,13.11,4,2,0
2017-04-11 14:32:10 GMT+5,83.4376967,-64.40741,24.65,4,2,0
2017-04-11 14:32:28 GMT+5,83.437605,-64.407335,46.41,4,2,0
2017-04-11 14:32:31 GMT+5,83.4375967,-64.4073233,39.75,4,2,0
2017-04-11 14:32:33 GMT+5,83.4375816,-64.4073283,39.03,4,2,0
2017-04-11 14:32:36 GMT+5,83.4375667,-64.40732,37.31,4,2,0
2017-04-11 14:32:41 GMT+5,83.437545,-64.40732,38.69,4,2,0
2017-04-11 14:32:44 GMT+5,83.4375383,-64.4073233,39.58,4,2,0
2017-04-11 14:32:47 GMT+5,83.43752,-64.4073116,40.97,4,2,0
2017-04-11 14:32:50 GMT+5,83.4375033,-64.407285,41.86,4,2,0
2017-04-11 14:32:53 GMT+5,83.43749,-64.4072667,43.58,4,2,0
2017-04-11 14:32:57 GMT+5,83.4374767,-64.40725,35.2,4,2,0
2017-04-11 14:33:00 GMT+5,83.4374634,-64.4072717,16.71,4,2,0
2017-04-11 14:33:05 GMT+5,83.437445,-64.407265,17.77,4,2,0
2017-04-11 14:33:11 GMT+5,83.4374217,-64.40724,8.89,4,2,0
2017-04-11 14:33:13 GMT+5,83.4374066,-64.4072383,5.335,4,2,0
2017-04-11 14:33:15 GMT+5,83.437395,-64.40722,10.33,4,2,0
2017-04-11 14:33:34 GMT+5,83.4373183,-64.4071983,29.7,4,2,0
2017-04-11 14:33:54 GMT+5,83.4372417,-64.40719,33.2,4,2,0
2017-04-11 14:33:58 GMT+5,83.4372283,-64.4071566,25.15,4,2,0
2017-04-11 14:34:17 GMT+5,83.437185,-64.4070934,35.14,4,2,0
2017-04-11 14:34:21 GMT+5,83.4371733,-64.4070867,17.66,4,2,0
2017-04-11 14:35:33 GMT+5,83.4368617,-64.4069683,31.87,4,2,0
2017-04-11 14:35:36 GMT+5,83.4368417,-64.4069666,32.81,4,2,0
2017-04-11 14:35:38 GMT+5,83.4368333,-64.406965,34.97,4,2,0
2017-04-11 14:35:41 GMT+5,83.4368133,-64.406945,46.02,4,2,0
2017-04-11 14:35:47 GMT+5,83.4367817,-64.4069417,33.53,4,2,0
2017-04-11 14:35:50 GMT+5,83.4367733,-64.4069367,34.75,4,2,0
2017-04-11 14:35:53 GMT+5,83.436755,-64.40695,36.53,4,2,0
2017-04-11 14:35:55 GMT+5,83.4367384,-64.40695,35.2,4,2,0
2017-04-11 14:35:58 GMT+5,83.4367217,-64.4069317,35.25,4,2,0
2017-04-11 14:36:01 GMT+5,83.43671,-64.4069267,35.59,4,2,0
2017-04-11 14:36:37 GMT+5,83.4366333,-64.406855,35.09,4,2,0
2017-04-11 14:36:54 GMT+5,83.4365734,-64.40683,35.14,4,2,0
2017-04-11 14:36:57 GMT+5,83.4365634,-64.4068284,38.42,4,2,0
2017-04-11 14:37:20 GMT+5,83.43647,-64.4068167,43.19,4,2,0
2017-04-11 14:37:23 GMT+5,83.436455,-64.406815,44.3,4,2,0
2017-04-11 14:37:26 GMT+5,83.4364366,-64.4067884,46.46,4,2,0
2017-04-11 14:37:31 GMT+5,83.436415,-64.4067716,47.24,4,2,0
2017-04-11 14:37:35 GMT+5,83.4364,-64.4067683,44.02,4,2,0
2017-04-11 14:38:21 GMT+5,83.436305,-64.406645,52.29,4,2,0
2017-04-11 14:38:47 GMT+5,83.4362667,-64.4066667,28.59,4,2,0
2017-04-11 14:38:50 GMT+5,83.4362584,-64.4066633,29.54,4,2,0
2017-04-11 14:38:54 GMT+5,83.4362383,-64.40667,26.98,4,2,0
2017-04-11 14:39:11 GMT+5,83.436155,-64.4066233,32.7,4,2,0
2017-04-11 14:39:59 GMT+5,83.4360817,-64.4065867,32.09,4,2,0
2017-04-11 14:40:01 GMT+5,83.4360666,-64.4065666,19.99,4,2,0
2017-04-11 14:40:14 GMT+5,83.4359784,-64.4065884,11,4,2,0
2017-04-11 14:40:25 GMT+5,83.4359,-64.4065867,116.8,4,2,0
2017-04-11 14:40:32 GMT+5,83.4358483,-64.4065717,21.54,4,2,0
2017-04-11 14:40:53 GMT+5,83.4357117,-64.4066166,30.2,4,2,0
2017-04-11 14:40:56 GMT+5,83.4357017,-64.406615,49.79,4,2,0
2017-04-11 14:40:59 GMT+5,83.4356866,-64.4066283,81.9,4,2,0
2017-04-11 14:43:13 GMT+5,83.4352717,-64.40704,54.73,4,2,0
2017-04-11 14:43:18 GMT+5,83.4352566,-64.407055,42.41,4,2,0
2017-04-11 14:44:05 GMT+5,83.4351717,-64.4070583,23.98,4,2,0
2017-04-11 14:44:08 GMT+5,83.4351634,-64.4070583,23.65,4,2,0
2017-04-11 14:44:31 GMT+5,83.4350366,-64.4071483,67.78,4,2,0
2017-04-11 14:44:34 GMT+5,83.4350284,-64.4071584,13.55,4,2,0
2017-04-11 14:45:14 GMT+5,83.4347634,-64.40725,20.88,4,2,0
2017-04-11 14:45:17 GMT+5,83.434755,-64.4072583,33.31,4,2,0
2017-04-11 14:46:13 GMT+5,83.4345633,-64.4073667,14.16,4,2,0
2017-04-11 14:46:16 GMT+5,83.4345533,-64.4073767,42.02,4,2,0
2017-04-11 14:46:18 GMT+5,83.4345417,-64.4073983,46.52,4,2,0
2017-04-11 11:21:57 GMT+5,83.9826534,-66.3580783,4.221,4,3,0
2017-04-11 11:22:00 GMT+5,83.9826534,-66.3580767,3.778,4,3,0
2017-04-11 11:22:01 GMT+5,83.982665,-66.3580133,3.224,4,3,0
2017-04-11 11:22:03 GMT+5,83.9826767,-66.3579234,3.113,4,3,0
2017-04-11 11:22:05 GMT+5,83.9826867,-66.357825,3.334,4,3,0
2017-04-11 11:22:07 GMT+5,83.9826934,-66.35778,3.113,4,3,0
2017-04-11 11:22:09 GMT+5,83.982705,-66.3576867,3.224,4,3,0
2017-04-11 11:22:11 GMT+5,83.9827183,-66.3576083,3.667,4,3,0
2017-04-11 11:22:13 GMT+5,83.9827283,-66.35752,3.168,4,3,0
2017-04-11 11:22:15 GMT+5,83.9827467,-66.3573884,4.11,4,3,0
2017-04-11 11:22:17 GMT+5,83.9827566,-66.35732,10.32,4,3,0
2017-04-11 11:22:19 GMT+5,83.9827616,-66.3572816,8.99,4,3,0
2017-04-11 11:22:21 GMT+5,83.98277,-66.357205,6.106,4,3,0
2017-04-11 11:22:23 GMT+5,83.98278,-66.35713,9.65,4,3,0
2017-04-11 11:22:24 GMT+5,83.9827917,-66.35704,15.75,4,3,0
2017-04-11 11:22:26 GMT+5,83.9828017,-66.35695,15.97,4,3,0
2017-04-11 11:22:30 GMT+5,83.9828167,-66.356815,11.76,4,3,0
2017-04-11 11:22:32 GMT+5,83.9828266,-66.3567416,6.272,4,3,0
2017-04-11 11:22:34 GMT+5,83.9828334,-66.35668,5.108,4,3,0
2017-04-11 11:22:36 GMT+5,83.9828434,-66.3565984,4.332,4,3,0
2017-04-11 11:22:38 GMT+5,83.98285,-66.356505,5.718,4,3,0
2017-04-11 11:22:40 GMT+5,83.982855,-66.35646,9.99,4,3,0
2017-04-11 11:22:42 GMT+5,83.9828666,-66.35636,7.657,4,3,0
2017-04-11 11:22:44 GMT+5,83.9828766,-66.3562633,4.332,4,3,0
2017-04-11 11:22:45 GMT+5,83.9828866,-66.3561767,3.722,4,3,0
2017-04-11 11:22:47 GMT+5,83.9828983,-66.3560934,3.556,4,3,0
2017-04-11 11:22:49 GMT+5,83.98291,-66.3559833,3.057,4,3,0
2017-04-11 11:22:51 GMT+5,83.9829217,-66.35589,3.39,4,3,0
2017-04-11 11:22:53 GMT+5,83.9829317,-66.3557967,5.163,4,3,0
2017-04-11 11:22:55 GMT+5,83.9829434,-66.355705,7.214,4,3,0
2017-04-11 11:22:57 GMT+5,83.98295,-66.35565,8.27,4,3,0
2017-04-11 11:22:59 GMT+5,83.98296,-66.3555366,12.37,4,3,0
2017-04-11 11:23:01 GMT+5,83.98297,-66.3554433,13.31,4,3,0
2017-04-11 11:23:02 GMT+5,83.9829783,-66.355355,16.75,4,3,0
2017-04-11 11:23:05 GMT+5,83.9829866,-66.3552584,26.39,4,3,0
2017-04-11 11:23:07 GMT+5,83.9829967,-66.3551583,20.96,4,3,0
2017-04-11 11:23:10 GMT+5,83.9830034,-66.3551017,29.83,4,3,0
2017-04-11 11:23:13 GMT+5,83.9830134,-66.3550116,28.11,4,3,0
2017-04-11 11:23:29 GMT+5,83.9830234,-66.354915,29.16,4,3,0
2017-04-11 11:23:31 GMT+5,83.9830283,-66.354825,28.72,4,3,0
2017-04-11 11:23:34 GMT+5,83.983035,-66.3547483,33.6,4,3,0
2017-04-11 11:23:36 GMT+5,83.983045,-66.3546567,39.91,4,3,0
2017-04-11 11:23:39 GMT+5,83.9830501,-66.3545933,27.39,4,3,0
2017-04-11 11:23:41 GMT+5,83.98306,-66.3545084,29.38,4,3,0
2017-04-11 11:23:44 GMT+5,83.9830683,-66.3544383,38.36,4,3,0
2017-04-11 11:23:46 GMT+5,83.98308,-66.354335,30.05,4,3,0
2017-04-11 11:23:49 GMT+5,83.983085,-66.3543017,21.85,4,3,0
2017-04-11 11:23:51 GMT+5,83.9830967,-66.3542084,16.53,4,3,0
2017-04-11 11:23:53 GMT+5,83.9831066,-66.354135,6.549,4,3,0
2017-04-11 11:23:55 GMT+5,83.9831134,-66.3540417,14.2,4,3,0
2017-04-11 11:24:00 GMT+5,83.98313,-66.3539567,16.19,4,3,0
2017-04-11 11:24:04 GMT+5,83.9831333,-66.3538833,3.889,4,3,0
2017-04-11 11:24:06 GMT+5,83.9831417,-66.3538333,18.58,4,3,0
2017-04-11 11:24:08 GMT+5,83.9831483,-66.3537716,31.05,4,3,0
2017-04-11 11:24:13 GMT+5,83.9831566,-66.35367,33.38,4,3,0
2017-04-11 11:24:18 GMT+5,83.9831684,-66.3535983,16.08,4,3,0
2017-04-11 11:24:20 GMT+5,83.98317,-66.35355,19.41,4,3,0
2017-04-11 11:24:22 GMT+5,83.98318,-66.3534666,23.4,4,3,0
2017-04-11 11:24:25 GMT+5,83.9831866,-66.353415,22.4,4,3,0
2017-04-11 11:24:28 GMT+5,83.9832,-66.3533116,20.35,4,3,0
2017-04-11 11:24:32 GMT+5,83.9832116,-66.3532067,12.2,4,3,0
2017-04-11 11:24:34 GMT+5,83.9832183,-66.3531533,19.19,4,3,0
2017-04-11 11:24:37 GMT+5,83.9832266,-66.353095,18.3,4,3,0
2017-04-11 11:24:39 GMT+5,83.983235,-66.3530267,23.12,4,3,0
2017-04-11 11:24:41 GMT+5,83.9832467,-66.35289,20.85,4,3,0
2017-04-11 11:24:44 GMT+5,83.983255,-66.3527584,16.47,4,3,0
2017-04-11 11:24:47 GMT+5,83.98326,-66.35269,38.14,4,3,0
2017-04-11 11:24:50 GMT+5,83.9832717,-66.3525816,38.14,4,3,0
2017-04-11 11:24:53 GMT+5,83.9832783,-66.3525,30.22,4,3,0
2017-04-11 11:24:55 GMT+5,83.9832883,-66.3524,11.37,4,3,0
2017-04-11 11:24:58 GMT+5,83.983295,-66.3523416,5.053,4,3,0
2017-04-11 11:25:01 GMT+5,83.98331,-66.35221,12.98,4,3,0
2017-04-11 11:25:07 GMT+5,83.9833166,-66.3521067,13.2,4,3,0
2017-04-11 11:25:12 GMT+5,83.9833266,-66.3520467,39.92,4,3,0
2017-04-11 11:25:16 GMT+5,83.9833433,-66.351965,38.14,4,3,0
2017-04-11 11:25:21 GMT+5,83.983355,-66.3518633,38.2,4,3,0
2017-04-11 11:25:24 GMT+5,83.9833683,-66.3517367,35.48,4,3,0
2017-04-11 11:25:28 GMT+5,83.9833783,-66.35164,31.38,4,3,0
2017-04-11 11:25:30 GMT+5,83.983385,-66.35157,33.32,4,3,0
2017-04-11 11:25:33 GMT+5,83.9833966,-66.3514617,39.81,4,3,0
2017-04-11 11:25:36 GMT+5,83.98341,-66.3513583,36.09,4,3,0
2017-04-11 11:25:40 GMT+5,83.9834234,-66.351245,46.9,4,3,0
